t,ua,ub,uc,omega_mech,theta_mech,theta_e,ia,ib,ic,id,iq,T_em
0.061,0,0,0.15,-1.85284,-0.104223,-0.208075,-6.3988,4.33402,2.06479,-6.53143,-0.0399618,-0.00155851
0.062,0,0,0.15,-1.85224,-0.106075,-0.21178,-6.32498,4.31868,2.0063,-6.4643,-0.0242918,-0.000947379
0.063,0,0,0.15,-1.85102,-0.107927,-0.215484,-6.25217,4.29802,1.95415,-6.39693,-0.0148983,-0.000581033
0.064,0,0,0.15,-1.8495,-0.109777,-0.219184,-6.18042,4.27229,1.90813,-6.32934,-0.0115336,-0.000449812
0.065,0,0,0.15,-1.84796,-0.111626,-0.222882,-6.10964,4.24199,1.86765,-6.26153,-0.0135612,-0.000528886
0.066,0,0,0.15,-1.84665,-0.113473,-0.226577,-6.03971,4.20786,1.83186,-6.19351,-0.0200544,-0.000782123
0.067,0,0,0.15,-1.84578,-0.115319,-0.230269,-5.97044,4.17074,1.7997,-6.12529,-0.0299027,-0.0011662
0.068,0,0,0.15,-1.84546,-0.117165,-0.23396,-5.90158,4.13153,1.77005,-6.05688,-0.0419146,-0.00163467
0.069,0,0,0.15,-1.84579,-0.11901,-0.237651,-5.83292,4.09114,1.74178,-5.9883,-0.0549135,-0.00214162
0.07,0,0,0.15,-1.84677,-0.120856,-0.241344,-5.7642,4.05034,1.71386,-5.91955,-0.0678173,-0.00264487
0.071,0,0,0.15,-1.84838,-0.122704,-0.245038,-5.69522,4.00982,1.68539,-5.85065,-0.0797019,-0.00310837
0.072,0,0,0.15,-1.85054,-0.124554,-0.248737,-5.62578,3.97011,1.65568,-5.7816,-0.0898438,-0.00350391
0.073,0,0,0.15,-1.85315,-0.126406,-0.25244,-5.55577,3.93154,1.62423,-5.71241,-0.0977427,-0.00381197
0.074,0,0,0.15,-1.85609,-0.12826,-0.256149,-5.48508,3.89432,1.59077,-5.64307,-0.103126,-0.00402191
0.075,0,0,0.15,-1.85922,-0.130118,-0.259864,-5.41369,3.85845,1.55524,-5.57361,-0.105935,-0.00413146
0.076,0,0,0.15,-1.86242,-0.131979,-0.263586,-5.3416,3.82383,1.51777,-5.504,-0.1063,-0.00414571
